# W=1920 H=1080
x,y
1017.975,172.085
1014.482,172.294
1010.732,172.552
1007.056,172.778
1003.386,173.051
999.719,173.332
996.061,173.666
992.503,174.017
988.974,174.408
985.359,174.830
981.763,175.282
978.165,175.770
974.476,176.303
970.812,176.851
967.316,177.367
963.826,177.867
960.118,178.432
956.299,178.981
952.685,179.485
948.955,179.957
945.219,180.418
941.496,180.870
937.675,181.334
933.823,181.802
929.981,182.293
926.149,182.809
922.307,183.373
918.386,183.985
914.464,184.628
910.699,185.246
907.010,185.854
903.266,186.483
899.379,187.135
895.748,187.716
892.123,188.313
888.427,188.911
884.899,189.454
881.362,189.975
877.823,190.492
874.367,190.997
870.707,191.624
867.092,192.304
863.419,193.047
859.782,193.837
856.235,194.636
852.621,195.475
848.797,196.394
845.192,197.249
841.609,198.087
837.941,198.921
834.382,199.711
830.830,200.456
827.300,201.214
823.700,201.976
820.212,202.718
816.640,203.469
813.063,204.206
809.561,204.916
806.146,205.623
802.751,206.374
799.458,207.153
796.184,207.976
792.667,208.912
789.234,209.856
785.659,210.856
782.085,211.825
778.317,212.825
774.548,213.822
770.780,214.790
767.012,215.725
763.166,216.627
759.527,217.401
755.930,218.127
752.383,218.803
748.824,219.448
745.258,220.079
741.566,220.747
738.087,221.376
734.563,222.068
731.133,222.808
727.797,223.572
724.462,224.395
721.029,225.312
717.493,226.247
713.981,227.199
710.475,228.134
707.049,229.054
703.497,229.977
699.936,230.879
696.312,231.737
692.434,232.598
688.529,233.416
684.526,234.210
680.823,234.891
677.182,235.553
673.542,236.214
669.906,236.914
666.530,237.575
663.045,238.315
659.568,239.106
655.970,239.983
652.457,240.909
648.960,241.877
645.463,242.842
641.966,243.810
638.486,244.778
634.717,245.832
631.144,246.809
627.565,247.747
623.978,248.614
620.382,249.406
616.651,250.186
612.848,250.964
609.070,251.708
605.218,252.466
601.510,253.192
597.803,253.950
594.015,254.724
590.280,255.524
586.572,256.377
582.938,257.293
579.482,258.217
576.033,259.157
572.463,260.147
568.894,261.143
565.324,262.134
561.757,263.134
558.187,264.124
554.613,265.076
551.156,265.932
547.697,266.727
544.312,267.443
540.763,268.142
537.276,268.820
533.676,269.530
530.006,270.243
526.319,270.953
522.922,271.582
519.412,272.276
515.839,273.015
512.090,273.839
508.232,274.743
504.525,275.676
500.896,276.627
497.346,277.595
493.961,278.542
490.572,279.477
487.185,280.418
483.877,281.337
480.651,282.215
477.349,283.057
474.031,283.834
470.765,284.532
467.495,285.189
464.435,285.748
461.080,286.393
457.728,287.047
454.518,287.660
451.308,288.273
448.091,288.902
444.874,289.563
441.621,290.285
438.347,291.063
435.170,291.880
431.996,292.706
428.948,293.531
425.982,294.382
423.087,295.230
420.064,296.166
417.150,297.057
414.299,297.928
411.684,298.738
409.168,299.496
406.626,300.215
404.065,300.889
401.485,301.518
398.977,302.100
396.471,302.665
393.963,303.192
391.458,303.724
388.929,304.288
386.408,304.901
383.854,305.579
381.303,306.295
378.750,307.041
376.198,307.836
373.941,308.546
371.685,309.258
369.437,309.990
367.225,310.764
365.044,311.589
362.877,312.446
360.747,313.301
358.683,314.126
356.685,314.921
354.683,315.708
352.668,316.464
350.634,317.174
348.596,317.873
346.679,318.472
344.765,319.080
342.861,319.677
340.935,320.285
339.021,320.866
337.107,321.416
335.200,321.981
333.299,322.561
331.407,323.171
329.519,323.816
327.631,324.493
325.744,325.171
323.879,325.848
322.066,326.485
320.321,327.130
318.598,327.805
316.900,328.519
315.195,329.304
313.465,330.202
311.738,331.107
309.992,332.053
308.211,332.958
306.404,333.827
304.584,334.632
302.757,335.393
300.937,336.133
299.114,336.867
297.300,337.622
295.490,338.385
293.695,339.184
291.827,340.277
289.973,341.405
288.129,342.554
286.286,343.740
284.500,344.955
282.754,346.259
281.035,347.631
279.329,349.035
277.628,350.455
275.925,351.865
274.218,353.268
272.511,354.672
270.816,356.103
269.127,357.549
267.448,359.019
265.755,360.483
264.053,361.943
262.362,363.408
260.709,364.833
259.128,366.187
257.583,367.576
256.082,368.943
254.621,370.352
253.191,371.801
251.785,373.318
250.395,374.895
248.999,376.500
247.608,378.117
246.233,379.750
244.884,381.412
243.557,383.093
242.339,384.553
241.146,386.098
240.005,387.690
238.904,389.307
237.807,390.926
236.711,392.546
235.632,394.172
234.599,395.818
233.595,397.490
232.628,399.202
231.691,400.953
230.815,402.755
229.987,404.581
229.224,406.419
228.524,408.271
227.869,410.135
227.301,412.002
226.777,413.870
226.293,415.744
225.822,417.622
225.397,419.499
225.006,421.385
224.635,423.279
224.294,425.185
223.990,427.106
223.748,429.040
223.587,431.007
223.503,432.995
223.503,435.104
223.551,437.220
223.648,439.339
223.805,441.422
224.026,443.436
224.271,445.424
224.570,447.456
224.909,449.487
225.280,451.518
225.683,453.549
226.104,455.574
226.565,457.603
227.052,459.641
227.568,461.693
228.197,463.979
228.842,466.259
229.487,468.538
230.141,470.815
230.812,473.084
231.457,475.363
232.099,477.644
232.745,479.924
233.428,482.188
234.127,484.445
234.857,486.729
235.612,489.002
236.386,491.267
237.481,494.188
238.577,497.108
239.666,500.031
240.752,502.955
241.863,505.876
242.960,508.802
244.037,511.737
245.093,514.680
246.131,517.631
247.160,520.586
248.166,523.495
249.192,526.435
250.273,529.468
251.369,532.534
252.482,535.633
253.757,539.031
255.080,542.409
256.596,546.161
258.016,549.670
259.435,553.180
260.861,556.687
262.276,560.199
263.744,563.822
265.212,567.445
266.682,571.067
268.160,574.685
269.604,578.318
271.008,581.967
272.386,585.588
273.793,589.275
275.212,592.996
276.358,596.120
277.542,599.305
278.752,602.519
279.972,605.768
281.141,608.905
282.688,612.839
284.259,616.762
285.863,620.673
287.485,624.575
289.114,628.475
290.742,632.375
292.344,636.247
293.898,640.022
295.443,643.762
296.970,647.470
298.340,650.877
299.679,654.297
300.866,657.365
302.059,660.469
303.237,663.579
304.401,666.695
305.575,669.808
306.687,672.812
307.800,675.816
308.916,678.819
310.032,681.823
311.161,684.820
312.307,687.811
313.457,690.800
314.586,693.720
315.699,696.608
316.801,699.422
317.900,702.150
319.006,704.836
320.119,707.481
321.243,710.120
322.023,711.949
322.815,713.773
323.607,715.597
324.399,717.421
325.204,719.240
326.026,721.051
326.865,722.856
327.714,724.656
328.555,726.460
329.404,728.260
330.279,730.050
331.185,731.827
332.086,733.567
333.205,735.467
334.371,737.348
335.564,739.218
336.782,741.077
338.031,742.924
339.316,744.746
340.653,746.551
342.066,748.383
343.561,750.240
345.125,752.105
346.724,753.946
348.344,755.769
350.000,757.567
351.670,759.350
353.340,761.133
355.017,762.898
356.705,764.655
358.417,766.383
360.140,768.107
361.874,769.825
363.609,771.544
365.361,773.242
367.132,774.921
368.922,776.578
370.734,778.214
372.569,779.828
374.440,781.414
376.344,782.974
378.416,784.631
380.494,786.274
382.590,787.896
384.499,789.293
386.414,790.676
388.347,792.038
390.287,793.381
392.239,794.697
394.200,795.992
396.148,797.262
398.061,798.450
399.936,799.568
401.786,800.633
403.645,801.679
405.511,802.704
407.392,803.697
409.281,804.668
411.244,805.649
413.213,806.617
415.193,807.558
417.176,808.491
419.172,809.393
421.183,810.259
423.211,811.081
425.247,811.888
427.289,812.678
429.345,813.436
431.414,814.162
433.496,814.856
435.592,815.517
437.701,816.146
439.710,816.646
441.781,817.129
443.914,817.597
446.109,818.048
448.317,818.467
450.539,818.854
452.772,819.212
455.014,819.551
457.262,819.873
459.517,820.180
461.772,820.484
464.034,820.775
466.302,821.049
468.565,821.279
470.827,821.472
473.164,821.662
475.500,821.822
477.772,821.923
480.050,822.004
482.327,822.052
484.605,822.068
486.883,822.052
489.158,822.008
491.429,821.944
493.703,821.855
495.981,821.742
498.252,821.613
500.516,821.467
502.774,821.306
505.027,821.134
507.278,820.957
509.474,820.747
511.615,820.505
513.744,820.220
515.865,819.898
518.000,819.570
520.936,819.280
523.866,818.974
526.789,818.651
529.709,818.318
532.625,817.980
535.535,817.625
538.438,817.254
541.335,816.868
544.239,816.497
547.149,816.142
549.978,815.771
552.807,815.400
555.683,815.025
558.560,814.652
561.437,814.281
564.308,813.894
567.174,813.495
570.038,813.091
572.903,812.688
575.769,812.290
578.633,811.885
581.497,811.482
584.361,811.079
587.229,810.683
590.097,810.291
592.962,809.887
595.826,809.484
598.691,809.083
601.599,808.691
604.460,808.304
607.301,807.906
609.333,807.454
611.372,807.019
613.411,806.583
615.454,806.158
617.493,805.722
619.532,805.287
621.569,804.845
623.600,804.392
625.631,803.936
627.650,803.453
629.669,802.969
631.685,802.479
633.649,801.979
635.605,801.459
637.555,800.928
639.513,800.412
641.473,799.903
643.430,799.387
645.417,798.849
647.427,798.272
649.429,797.677
651.421,797.058
653.410,796.429
655.388,795.776
657.358,795.104
659.325,794.423
661.287,793.730
663.247,793.033
665.116,792.327
666.984,791.617
668.850,790.905
670.711,790.179
672.559,789.422
674.403,788.657
676.608,787.608
678.810,786.551
681.008,785.487
683.205,784.419
685.404,783.354
687.602,782.290
689.804,781.233
692.062,780.109
694.314,778.969
696.563,777.824
698.809,776.669
701.051,775.507
703.286,774.326
705.515,773.130
707.739,771.925
709.926,770.723
712.077,769.526
714.228,768.333
716.378,767.135
718.556,765.894
720.776,764.590
723.003,763.250
725.226,761.898
727.446,760.539
729.658,759.160
731.867,757.774
734.230,756.193
736.587,754.599
738.940,752.995
741.291,751.386
743.815,749.572
745.968,748.016
748.121,746.459
750.270,744.895
752.418,743.328
754.566,741.758
756.705,740.168
758.838,738.567
760.908,737.013
762.977,735.460
765.045,733.904
767.112,732.343
769.225,730.714
771.340,729.089
773.453,727.460
775.561,725.819
777.667,724.173
779.771,722.521
781.904,720.814
784.040,719.113
786.144,717.445
788.207,715.846
790.336,714.136
792.470,712.437
794.602,710.732
796.735,709.033
798.852,707.319
800.772,705.757
802.661,704.169
804.524,702.565
806.359,700.940
807.973,699.481
809.512,697.986
810.985,696.428
812.415,694.804
813.838,693.084
815.238,691.296
816.633,689.419
818.031,687.456
819.434,685.408
820.939,683.097
822.414,680.764
823.864,678.412
825.235,676.102
826.607,673.740
827.992,671.339
829.543,668.643
831.092,665.941
832.615,663.224
834.090,660.539
835.540,657.835
836.971,655.074
838.408,652.221
839.750,649.450
841.083,646.578
842.366,643.658
843.601,640.645
844.811,637.588
846.046,634.463
847.297,631.307
848.701,627.839
850.112,624.376
851.532,620.916
852.985,617.454
854.464,614.022
855.977,610.600
857.468,607.245
859.014,603.797
864.628,597.521
870.200,591.306
875.716,585.146
881.094,579.223
886.449,573.291
891.794,567.355
897.117,561.410
902.385,555.481
907.589,549.564
912.580,543.923
917.523,538.262
922.460,532.599
927.386,526.931
932.306,521.260
937.209,515.622
942.065,510.042
946.922,504.501
951.778,499.038
