# W=1280 H=720
x,y
181.754,183.440
179.794,184.423
177.907,185.444
176.150,186.554
174.514,187.758
172.969,189.059
171.488,190.445
170.034,191.897
168.598,193.393
167.259,194.975
166.006,196.652
164.817,198.415
163.669,200.254
162.470,202.189
161.277,204.141
160.098,206.092
158.928,208.068
157.709,210.035
156.483,212.005
155.206,214.005
153.849,216.058
152.419,218.140
150.953,220.238
149.487,222.337
148.059,224.452
146.688,226.590
145.335,228.736
144.043,230.906
142.824,233.112
141.693,235.386
140.650,237.762
139.696,240.269
138.829,242.912
138.039,245.603
137.219,248.306
136.380,251.018
135.552,253.733
134.761,256.464
134.045,259.232
133.411,262.057
132.782,264.897
132.169,267.743
131.593,270.605
131.142,273.459
130.843,276.319
130.640,279.264
130.524,282.310
130.500,285.434
130.500,288.577
130.500,291.720
130.500,294.863
130.500,298.006
130.500,301.149
130.540,304.262
130.668,307.305
130.877,310.296
131.167,313.233
131.529,316.157
131.929,319.163
132.332,322.199
132.740,325.220
133.208,328.216
133.702,331.201
134.276,334.139
134.937,337.007
135.663,339.709
136.357,342.221
137.034,344.537
137.742,346.663
138.448,348.586
139.078,350.281
139.627,351.779
140.099,353.099
140.519,354.238
140.922,355.181
141.346,355.930
141.830,356.501
142.395,356.922
143.024,357.175
143.669,357.233
144.275,357.108
144.797,356.840
145.243,356.409
145.646,355.794
145.993,355.013
146.272,354.107
146.530,353.075
146.788,351.946
147.064,350.703
147.394,349.291
147.811,347.773
148.304,346.218
148.798,344.662
149.314,343.097
149.832,341.527
150.341,339.979
150.873,338.464
151.526,337.004
152.284,335.639
153.105,334.379
154.016,333.221
155.098,332.205
156.352,331.313
157.758,330.558
159.258,329.967
160.819,329.553
162.446,329.269
164.101,329.092
165.759,328.918
167.433,328.762
169.178,328.665
171.044,328.600
173.078,328.538
175.274,328.496
177.589,328.480
179.911,328.467
182.220,328.448
184.507,328.420
186.784,328.372
189.059,328.317
191.368,328.206
193.710,328.064
196.088,327.877
198.461,327.702
200.806,327.549
203.021,327.496
205.157,327.501
207.221,327.633
209.197,327.898
211.053,328.252
212.786,328.675
214.507,329.159
216.210,329.687
217.896,330.256
219.593,330.764
221.311,331.116
223.061,331.324
224.830,331.451
226.646,331.500
228.501,331.593
230.346,331.804
232.150,332.142
233.904,332.627
235.557,333.279
237.080,334.099
238.453,335.113
239.759,336.343
240.978,337.736
242.073,339.254
243.019,340.901
243.802,342.643
244.372,344.459
244.732,346.282
244.885,348.067
244.901,349.716
244.803,351.279
244.659,352.676
244.426,353.929
244.103,355.144
243.765,356.352
243.416,357.556
243.020,358.734
242.457,359.880
241.730,360.965
240.842,361.949
239.779,362.932
238.559,364.007
237.174,365.140
235.596,366.285
233.793,367.446
231.786,368.651
229.669,369.872
227.482,371.092
225.202,372.290
222.857,373.411
220.499,374.471
218.208,375.536
215.950,376.601
213.692,377.651
211.428,378.689
209.162,379.687
206.876,380.639
204.570,381.498
202.291,382.466
200.056,383.591
197.822,384.813
195.588,386.039
193.339,387.216
191.096,388.442
188.834,389.632
186.483,390.675
184.074,391.538
181.676,392.268
179.295,392.913
176.913,393.526
174.549,394.099
172.187,394.632
169.828,395.168
167.499,395.755
165.257,396.477
163.104,397.331
161.035,398.243
159.002,399.171
157.028,400.207
155.131,401.316
153.315,402.477
151.557,403.672
149.804,404.828
148.095,405.960
146.468,407.144
145.002,408.342
143.704,409.552
142.605,410.810
141.703,412.158
140.953,413.423
140.337,414.590
139.891,415.739
139.626,416.900
139.560,418.158
139.664,419.432
139.984,420.760
140.532,422.215
141.268,423.793
142.158,425.479
143.209,427.253
144.441,429.081
145.834,431.007
147.400,433.007
149.146,435.018
151.039,437.011
153.021,438.934
155.142,440.829
157.417,442.714
159.782,444.528
162.202,446.176
164.694,447.706
167.274,449.167
169.945,450.553
172.771,451.912
175.687,453.198
178.690,454.415
181.711,455.625
184.731,456.834
187.737,458.007
190.745,459.176
193.784,460.362
196.854,461.570
199.922,462.780
202.991,463.990
206.061,465.197
209.133,466.398
212.576,467.712
215.985,468.983
219.392,470.257
222.800,471.531
226.212,472.793
229.622,474.061
233.030,475.336
236.437,476.610
239.925,477.900
243.415,479.186
246.907,480.468
250.350,481.702
253.725,482.878
257.101,484.055
260.476,485.233
263.852,486.408
267.247,487.577
270.642,488.746
275.970,490.436
281.297,492.129
286.623,493.823
291.950,495.516
297.280,497.202
302.675,498.920
308.068,500.640
313.427,502.350
318.754,504.043
324.081,505.737
329.410,507.425
334.740,509.110
340.070,510.797
344.994,512.328
349.998,513.877
355.002,515.425
360.012,516.959
365.018,518.503
370.022,520.052
375.026,521.600
380.241,523.164
385.377,524.706
390.513,526.246
395.649,527.789
400.798,529.337
405.996,530.885
411.194,532.434
416.393,533.977
421.595,535.517
426.779,537.058
432.413,538.573
436.046,539.525
439.679,540.477
443.314,541.425
446.951,542.368
450.587,543.312
454.157,544.228
457.726,545.147
461.295,546.067
464.945,546.969
468.597,547.865
472.250,548.759
475.901,549.658
479.551,550.561
483.200,551.464
486.769,552.351
490.344,553.222
494.342,553.963
498.328,554.613
502.298,555.159
506.251,555.600
509.992,555.956
513.731,556.253
517.463,556.482
521.197,556.659
524.909,556.788
528.563,556.833
532.202,556.773
535.901,556.617
539.604,556.418
543.303,556.196
546.552,555.970
549.791,555.654
553.023,555.257
556.258,554.808
559.495,554.315
562.714,553.723
565.930,553.062
569.140,552.320
572.337,551.487
575.459,550.617
578.585,549.705
581.713,548.781
584.834,547.778
587.961,546.644
591.100,545.350
594.228,543.963
597.348,542.527
600.036,541.162
602.724,539.797
605.424,538.461
608.140,537.164
610.852,535.857
613.513,534.497
616.150,533.101
618.768,531.657
621.385,530.180
624.014,528.733
626.656,527.316
629.224,525.909
631.780,524.473
634.344,523.015
636.900,521.515
639.470,519.977
642.035,518.427
644.585,516.840
647.125,515.230
649.676,513.646
652.228,512.064
654.770,510.457
657.316,508.863
659.862,507.266
662.408,505.701
664.954,504.139
667.505,502.588
670.023,501.059
672.516,499.533
675.010,498.008
677.506,496.489
680.001,494.967
682.494,493.441
685.324,490.900
688.098,488.303
690.863,485.683
694.320,481.915
697.809,478.213
701.316,474.609
704.837,471.038
708.353,467.493
711.875,463.988
715.414,460.556
718.958,457.201
722.484,453.927
725.966,450.785
729.370,447.834
732.665,445.031
735.183,443.561
737.546,442.204
739.394,441.936
741.085,441.778
742.633,441.762
744.015,441.836
745.217,441.968
746.220,442.161
747.046,442.384
747.700,442.681
748.212,443.104
748.567,443.701
748.763,444.404
748.784,445.173
748.638,446.028
748.329,446.981
747.524,449.053
746.606,451.263
745.530,453.581
743.641,457.178
741.565,460.871
739.322,464.597
736.909,468.404
734.327,472.252
731.567,476.137
728.625,480.037
725.508,483.940
722.226,487.813
718.820,491.634
715.318,495.406
711.764,499.130
708.838,501.652
705.896,504.138
703.301,505.620
700.697,507.080
698.093,508.539
695.492,510.006
692.897,511.488
690.326,512.940
687.756,514.396
685.192,515.864
682.585,517.394
679.944,518.954
677.300,520.506
674.658,522.062
672.017,523.619
669.370,525.165
666.719,526.666
664.064,528.159
661.423,529.686
658.785,531.219
656.153,532.697
653.510,534.147
650.861,535.582
648.213,537.020
645.557,538.440
642.899,539.855
640.238,541.261
637.574,542.660
634.911,544.063
632.176,545.478
629.449,546.914
626.710,548.320
623.965,549.714
621.220,551.104
618.583,552.532
616.050,553.976
613.676,555.396
611.484,556.766
609.475,558.089
607.648,559.362
606.004,560.586
604.649,561.666
603.510,562.668
602.558,563.633
601.791,564.552
601.209,565.430
600.762,566.217
600.435,566.902
600.270,567.487
600.253,567.939
600.355,568.257
600.604,568.466
601.003,568.568
601.564,568.571
602.299,568.507
603.224,568.442
604.324,568.310
605.593,568.098
607.036,567.816
608.639,567.429
610.484,566.950
612.532,566.362
614.801,565.685
617.227,564.920
619.814,564.054
622.461,563.069
625.171,561.980
627.894,560.874
630.594,559.712
633.281,558.519
635.958,557.299
638.619,556.043
641.195,554.769
643.730,553.420
646.240,552.010
648.726,550.539
651.181,548.997
653.643,547.442
656.137,545.902
658.635,544.372
661.133,542.841
663.667,541.330
666.230,539.863
668.826,538.456
671.433,537.107
674.040,535.685
676.628,534.186
679.219,532.696
681.816,531.220
684.390,529.710
686.968,528.210
689.544,526.704
692.076,525.204
694.567,523.736
697.087,522.349
699.622,521.030
702.159,519.716
704.683,518.370
707.187,516.946
709.690,515.516
712.201,514.021
714.708,512.514
717.217,511.013
719.733,509.560
722.277,508.216
724.818,506.998
727.344,505.915
729.852,504.975
732.370,504.224
734.869,503.624
737.302,503.168
739.643,502.868
741.970,502.701
744.289,502.621
746.600,502.556
748.908,502.450
751.216,502.425
753.538,502.486
755.860,502.615
758.188,502.783
760.548,503.046
762.920,503.401
765.291,503.833
767.651,504.379
769.981,505.005
772.301,505.654
774.622,506.296
776.928,506.900
779.240,507.521
781.567,508.210
783.924,508.885
786.277,509.670
788.638,510.514
790.970,511.499
793.274,512.561
795.510,513.683
797.655,514.836
799.697,515.996
801.625,517.163
803.489,518.302
805.387,519.402
807.342,520.475
809.350,521.540
811.339,522.622
813.323,523.712
815.295,524.863
817.250,526.118
819.199,527.421
821.143,528.736
823.083,530.026
825.023,531.287
826.964,532.513
828.881,533.642
830.763,534.651
832.649,535.528
834.563,536.320
836.479,537.076
838.392,537.871
840.302,538.803
842.161,539.853
844.015,540.955
845.851,542.129
847.686,543.269
849.518,544.392
851.377,545.444
853.247,546.491
855.177,547.498
857.211,548.376
859.351,549.104
861.484,549.692
863.548,550.126
865.456,550.448
867.209,550.653
868.853,550.701
870.420,550.578
872.928,548.067
875.396,545.411
877.865,542.611
880.335,539.739
882.803,536.789
885.225,533.744
887.563,530.645
889.805,527.460
892.014,524.251
894.250,521.015
896.489,517.786
898.722,514.544
900.959,511.296
903.201,508.033
905.382,504.606
907.526,500.993
909.588,497.229
911.562,493.366
913.443,489.423
915.234,485.374
916.939,481.185
918.572,476.824
920.400,471.680
922.140,466.468
923.817,461.221
925.562,455.936
927.378,450.622
929.234,445.300
931.081,440.002
932.923,434.715
934.759,429.430
935.561,426.378
936.310,423.317
936.905,420.282
937.318,417.266
937.559,414.257
937.669,411.313
937.686,408.428
937.615,405.613
937.419,402.867
937.066,400.180
936.562,397.476
935.884,394.766
935.034,392.014
934.006,389.202
932.887,386.432
931.691,383.705
930.414,381.029
929.066,378.382
927.646,375.766
926.131,373.235
924.525,370.831
922.838,368.577
920.800,367.114
918.676,365.790
916.467,364.604
914.167,363.546
911.786,362.639
909.358,361.864
906.932,361.148
904.492,360.518
902.009,359.977
899.453,359.545
896.582,359.793
893.679,360.212
890.783,360.680
887.887,361.180
884.989,361.685
882.099,362.233
879.217,362.864
876.353,363.577
873.482,364.371
870.595,365.236
867.705,366.107
864.821,366.965
861.986,367.774
859.218,368.537
856.559,369.270
854.029,369.972
851.496,370.691
848.948,371.451
846.413,372.275
843.908,373.150
841.408,374.037
838.899,374.901
836.382,375.745
833.862,376.552
831.339,377.349
828.801,378.113
826.248,378.806
823.701,379.421
821.168,379.949
818.683,380.387
816.276,380.712
814.222,380.363
812.343,379.811
810.633,379.178
809.097,378.508
807.747,377.831
806.596,377.016
805.606,376.102
805.012,374.522
804.588,372.860
804.335,371.156
804.165,369.404
803.985,367.675
803.755,366.033
803.450,364.518
803.026,363.128
802.471,361.864
801.898,360.674
801.081,360.059
800.263,359.351
799.675,357.945
799.080,356.436
798.234,355.421
797.388,354.405
796.535,353.373
795.689,352.324
794.818,351.373
793.946,350.453
793.061,349.597
792.166,348.799
791.219,348.060
790.206,347.367
789.089,346.743
787.820,346.175
