# W=1920 H=1080
x,y
888.247,105.743
884.865,105.969
881.472,106.188
878.090,106.382
874.767,106.551
871.308,106.761
867.911,106.996
864.552,107.206
861.172,107.423
857.742,107.648
854.235,107.886
850.727,108.128
847.067,108.402
843.417,108.701
839.486,109.072
835.564,109.480
831.682,109.900
827.900,110.280
824.232,110.625
820.808,110.947
817.275,111.286
813.747,111.608
810.228,111.912
806.592,112.202
803.241,112.472
799.680,112.749
796.109,113.003
792.547,113.245
788.978,113.470
785.681,113.680
782.322,113.877
778.963,114.070
775.439,114.286
771.780,114.544
768.121,114.867
764.304,115.262
760.687,115.619
757.079,115.964
753.210,116.318
749.383,116.641
745.664,116.952
742.077,117.243
738.496,117.515
735.073,117.741
731.357,117.991
727.919,118.195
724.473,118.370
721.063,118.531
717.639,118.692
714.217,118.877
710.593,119.087
707.113,119.281
703.641,119.490
699.944,119.741
696.375,120.031
692.640,120.358
689.120,120.681
685.599,121.003
681.910,121.326
677.922,121.665
673.921,122.005
670.013,122.327
666.091,122.646
662.325,122.930
658.701,123.155
655.071,123.365
651.588,123.527
647.805,123.735
644.022,123.946
640.497,124.140
637.005,124.333
633.502,124.522
630.009,124.715
626.252,124.959
622.482,125.232
619.008,125.458
615.542,125.699
612.072,125.947
608.525,126.238
604.794,126.552
601.061,126.861
597.398,127.167
593.742,127.458
589.955,127.769
586.386,128.053
582.492,128.309
578.748,128.502
574.940,128.696
571.067,128.889
567.359,129.074
563.961,129.235
560.571,129.407
557.179,129.584
553.802,129.765
550.428,129.944
546.971,130.170
543.509,130.380
539.978,130.636
536.754,130.862
533.364,131.135
529.972,131.409
526.506,131.683
523.048,131.941
519.582,132.215
516.381,132.473
513.187,132.749
509.936,133.026
506.628,133.290
503.169,133.565
499.793,133.785
496.612,133.955
493.434,134.132
490.380,134.281
487.324,134.458
484.392,134.599
481.459,134.744
478.808,134.908
476.137,135.103
473.532,135.289
471.002,135.482
468.462,135.685
465.917,135.884
463.371,136.082
460.821,136.292
458.274,136.509
455.723,136.749
453.247,136.959
450.778,137.185
448.380,137.373
445.985,137.535
443.754,137.656
441.527,137.769
439.384,137.856
437.244,137.936
435.112,137.972
432.953,138.052
430.757,138.154
428.560,138.312
426.417,138.441
424.429,138.569
422.432,138.720
420.429,138.884
418.427,139.045
416.431,139.219
414.436,139.364
412.305,139.671
410.182,139.995
408.104,140.334
406.066,140.710
404.030,141.105
401.991,141.509
399.958,141.928
397.930,142.380
395.897,142.831
393.864,143.283
391.836,143.714
389.810,144.150
387.791,144.569
385.767,144.966
383.749,145.356
381.730,145.777
379.708,146.204
377.690,146.651
375.667,147.112
373.641,147.580
371.613,148.108
369.619,148.609
367.688,149.123
365.850,149.636
363.924,150.426
362.011,151.246
360.112,152.101
358.221,153.002
356.316,153.945
354.415,154.897
352.513,155.881
350.752,156.723
348.986,157.544
347.219,158.304
345.446,159.002
343.677,159.640
341.906,160.255
340.137,160.878
338.369,161.501
336.606,162.136
334.847,162.782
333.093,163.471
331.348,164.182
329.630,164.962
327.959,165.805
326.327,166.704
324.709,167.628
323.089,168.633
321.471,169.655
319.861,170.717
318.253,171.814
316.638,172.896
315.015,173.928
313.360,174.909
311.670,175.831
310.074,176.525
308.477,177.218
306.896,177.927
305.344,178.659
303.835,179.388
302.351,180.144
300.907,180.942
299.499,181.794
298.120,182.700
296.747,183.682
295.384,184.733
294.025,185.864
292.692,187.052
291.380,188.268
290.090,189.511
288.831,190.786
287.601,192.091
286.407,193.421
285.247,194.775
284.085,196.129
282.914,197.478
281.736,198.825
280.576,200.179
279.432,201.484
278.297,202.809
277.198,204.162
276.148,205.557
275.148,206.998
274.190,208.562
273.297,210.255
272.471,212.070
271.696,213.982
270.951,215.955
270.241,218.007
269.553,220.085
268.890,222.172
268.235,224.263
267.563,226.347
266.902,228.435
266.282,230.536
265.718,232.651
265.199,234.785
264.726,236.938
264.255,240.557
263.821,244.189
263.450,247.822
263.119,251.459
262.829,255.099
262.555,258.746
262.297,262.400
262.071,266.067
261.871,269.744
261.694,273.431
261.539,277.128
261.412,280.836
261.315,284.556
261.235,288.283
261.179,292.007
261.130,295.798
261.097,299.612
261.065,303.394
261.017,307.119
260.985,310.772
260.992,314.373
261.022,317.901
261.054,321.412
261.098,324.919
261.171,328.433
261.279,331.962
261.392,335.493
261.498,339.026
261.590,342.561
261.658,346.087
261.723,349.611
261.820,351.683
261.922,353.753
262.003,355.832
262.067,357.918
262.115,360.011
262.167,362.102
262.232,364.187
262.307,366.269
262.404,368.341
262.525,370.404
262.654,372.463
262.801,374.529
262.966,376.600
263.143,378.666
263.305,380.738
263.466,382.746
