# W=1920 H=1080
x,y
407.461,113.172
405.470,113.325
403.443,113.535
401.389,113.797
399.288,114.136
397.154,114.539
395.015,114.958
392.881,115.394
390.741,115.845
388.615,116.297
386.483,116.729
384.395,117.116
382.352,117.484
380.378,117.831
378.401,118.201
376.428,118.584
374.457,119.003
372.479,119.406
370.498,119.800
368.519,120.199
366.595,120.584
364.706,121.011
362.835,121.486
360.972,122.011
359.118,122.560
357.060,123.445
355.010,124.357
352.953,125.276
350.886,126.220
348.819,127.164
346.744,128.126
344.666,129.060
342.608,129.922
340.583,130.704
338.587,131.429
336.639,132.107
334.730,132.768
332.827,133.446
330.920,134.144
329.025,134.870
327.128,135.626
325.249,136.432
323.403,137.322
321.567,138.303
319.746,139.318
317.930,140.344
316.118,141.381
314.304,142.413
312.490,143.446
310.676,144.477
308.857,145.465
307.031,146.402
305.169,147.301
303.295,148.191
301.420,149.081
299.560,149.993
297.921,150.600
296.302,151.234
294.694,151.956
293.109,152.713
291.569,153.536
290.050,154.415
288.541,155.351
287.030,156.347
285.518,157.388
284.013,158.463
282.521,159.568
281.046,160.692
279.583,161.845
278.142,163.028
276.716,164.233
275.312,165.460
273.921,166.692
272.517,167.919
271.124,169.111
269.747,170.310
268.387,171.525
267.036,172.763
265.693,174.020
264.357,175.296
263.049,176.608
261.783,177.994
260.553,179.452
259.358,180.949
258.208,182.467
257.103,184.004
256.022,185.551
254.966,187.107
253.928,188.672
252.924,190.196
251.939,191.743
250.950,193.337
249.966,194.966
249.023,196.616
248.132,198.303
247.299,200.034
246.519,201.804
245.786,203.593
245.086,205.397
244.433,207.219
243.831,209.049
243.266,210.895
242.733,212.753
242.235,214.625
241.784,216.504
241.355,218.392
240.948,220.290
240.576,222.202
240.256,224.131
239.997,226.086
239.788,228.071
239.611,230.069
239.450,232.074
239.472,235.098
239.517,238.131
239.566,241.165
239.614,244.199
239.689,247.236
239.786,250.277
239.899,253.325
240.028,256.379
240.189,259.417
240.405,262.658
240.655,265.881
240.913,269.108
241.187,272.327
241.461,275.547
241.735,278.766
242.010,281.986
242.300,285.199
242.591,288.412
242.865,291.631
243.155,294.844
243.445,298.057
243.734,301.271
244.024,304.484
244.324,307.701
244.630,310.920
244.938,314.140
245.255,317.355
245.561,320.575
245.876,323.791
246.263,327.213
246.780,331.152
247.140,334.079
247.511,337.002
247.882,339.924
248.253,342.847
248.629,345.767
249.000,348.690
249.371,351.613
249.758,354.529
250.129,357.451
250.467,360.132
250.806,362.813
251.177,365.535
251.548,368.312
251.935,371.138
252.371,374.054
252.822,377.019
253.273,380.038
253.741,383.106
254.241,386.215
254.725,389.332
255.209,392.448
255.709,395.557
256.418,399.399
257.128,403.241
257.854,407.076
258.595,410.905
259.337,414.734
260.080,418.562
260.829,422.388
261.507,426.007
262.064,429.106
262.656,432.246
263.253,435.438
