# W=1920 H=1080
x,y
412.216,144.279
410.161,144.718
408.103,145.148
406.040,145.535
403.976,145.919
401.914,146.306
399.846,146.705
397.781,147.099
395.708,147.494
393.639,147.897
391.566,148.310
389.496,148.746
387.423,149.224
385.353,149.724
383.281,150.249
381.218,150.796
379.035,151.560
377.050,152.172
375.083,152.826
373.122,153.497
371.157,154.159
369.199,154.836
367.241,155.513
365.284,156.222
363.327,156.929
361.378,157.606
359.472,158.186
357.597,158.702
355.721,159.215
353.840,159.716
351.966,160.232
350.091,160.748
348.207,161.312
346.326,161.886
344.449,162.498
342.584,163.141
340.724,163.828
338.882,164.565
337.041,165.364
335.204,166.203
333.364,167.035
331.520,167.858
329.676,168.681
327.840,169.521
326.009,170.376
324.188,171.254
322.370,172.137
320.685,172.839
318.991,173.607
317.299,174.379
315.612,175.163
313.946,175.974
312.297,176.804
310.680,177.671
309.088,178.572
307.526,179.527
305.978,180.541
304.437,181.605
302.908,182.730
301.391,183.884
299.897,185.072
298.417,186.276
296.961,187.515
295.530,188.736
294.131,189.990
292.751,191.267
291.389,192.565
290.044,193.869
288.713,195.179
287.399,196.506
286.097,197.856
284.805,199.233
283.529,200.645
282.287,202.097
281.085,203.573
279.912,205.075
278.774,206.601
277.672,208.158
276.620,209.745
275.629,211.301
274.660,212.867
273.713,214.474
272.799,216.160
271.903,217.901
271.016,219.710
270.117,221.563
269.246,223.492
268.421,225.504
267.645,227.610
266.916,229.753
266.215,231.907
265.467,235.236
264.758,238.581
264.103,241.930
263.515,245.287
262.951,248.653
262.422,252.033
261.926,255.426
261.458,258.832
261.030,262.247
260.643,265.672
260.297,269.115
259.977,272.575
259.697,276.053
259.438,279.541
259.191,283.034
258.965,286.535
258.755,290.044
258.575,293.602
258.397,297.223
258.229,300.890
258.108,304.572
258.026,308.225
257.945,311.814
257.881,315.361
257.832,318.850
257.828,322.309
257.828,325.706
257.828,329.038
257.828,332.305
257.815,335.551
257.815,338.802
257.896,340.892
257.977,342.982
258.034,345.082
258.069,347.191
258.118,349.294
258.166,351.397
258.214,353.501
258.275,355.599
258.351,357.691
258.440,359.778
258.538,361.862
258.659,363.955
258.788,366.052
258.920,368.147
259.065,370.237
259.210,372.327
259.356,374.417
259.488,376.464
259.646,378.601
259.784,380.688
259.897,382.768
260.010,384.849
260.123,386.929
260.235,389.010
260.364,391.139
260.639,393.680
260.913,396.222
261.187,398.764
261.477,401.299
261.797,403.832
262.135,406.360
262.490,408.882
262.861,411.452
263.264,414.064
263.700,416.772
264.135,419.535
264.571,422.299
265.006,425.062
265.527,428.121
266.105,431.464
266.645,434.809
267.177,438.157
267.725,441.498
268.290,444.833
268.852,448.168
269.416,451.503
269.997,454.886
270.610,458.311
271.271,461.826
271.910,465.185
272.573,468.544
273.251,471.898
273.928,475.251
274.622,478.598
275.331,481.938
276.041,485.224
276.622,488.089
277.218,490.949
277.831,493.801
278.446,496.653
279.079,499.497
279.718,502.338
280.363,505.177
281.025,507.955
281.678,510.680
282.338,513.332
283.004,515.926
283.704,518.506
284.427,521.076
285.086,523.343
285.699,525.321
286.351,527.296
287.036,529.258
287.740,531.212
288.449,533.163
289.181,535.105
289.943,537.035
290.733,538.898
291.536,540.700
292.342,542.382
293.195,544.025
294.089,545.636
295.022,547.219
295.993,548.766
296.993,550.301
298.027,551.812
299.300,553.602
300.590,555.385
301.915,557.144
303.275,558.876
304.670,560.577
306.081,562.263
307.520,563.927
308.991,565.559
310.480,567.175
311.997,568.763
313.528,570.294
315.086,571.804
316.666,573.286
318.272,574.748
319.895,576.193
321.538,577.613
323.209,579.009
324.902,580.379
326.613,581.724
328.363,583.022
330.145,584.288
331.938,585.527
333.788,586.796
335.679,588.073
337.608,589.372
339.551,590.690
341.499,591.996
343.452,593.290
345.401,594.593
347.360,595.874
349.322,597.146
351.084,598.103
352.866,599.038
354.654,599.955
356.442,600.875
358.234,601.784
360.027,602.690
361.834,603.564
363.643,604.432
365.455,605.292
367.269,606.147
369.089,606.989
370.916,607.815
372.739,608.649
374.569,609.465
376.453,610.300
378.336,611.139
380.225,611.963
382.114,612.788
384.004,613.609
385.890,614.440
387.855,615.324
389.819,616.211
391.738,617.039
393.627,617.832
395.480,618.599
397.321,619.341
399.163,620.050
401.004,620.728
402.851,621.390
404.773,622.060
406.764,622.754
408.761,623.426
410.762,624.063
412.760,624.678
414.763,625.275
416.767,625.839
418.783,626.373
420.794,626.921
422.808,627.459
424.823,627.964
426.847,628.448
428.877,628.916
430.915,629.365
432.963,629.790
435.062,630.225
437.163,630.639
