# W=1920 H=1080
x,y
410.322,144.694
408.254,145.130
406.172,145.533
404.077,145.905
401.986,146.266
399.884,146.621
397.793,146.949
395.691,147.304
393.590,147.662
391.488,148.049
389.392,148.456
387.290,148.907
385.183,149.402
383.074,149.932
380.845,150.678
378.627,151.452
376.631,152.078
374.647,152.732
372.674,153.414
370.700,154.092
368.720,154.755
366.738,155.416
364.761,156.070
362.793,156.731
360.842,157.376
358.917,157.945
357.029,158.427
355.146,158.919
353.263,159.415
351.385,159.919
349.509,160.431
347.620,160.981
345.727,161.594
343.845,162.232
341.972,162.893
340.125,163.613
338.295,164.386
336.472,165.230
334.660,166.113
332.852,167.003
331.042,167.890
329.232,168.777
327.422,169.633
325.619,170.504
323.820,171.384
322.154,172.082
320.486,172.776
318.826,173.485
317.149,174.242
315.476,175.012
313.825,175.809
312.198,176.641
310.594,177.506
309.010,178.414
307.457,179.368
305.917,180.383
304.389,181.460
302.861,182.603
301.342,183.767
299.841,184.957
298.352,186.172
296.884,187.414
295.454,188.651
294.056,189.875
292.690,191.128
291.345,192.408
289.991,193.685
288.657,194.971
287.335,196.261
286.028,197.568
284.731,198.897
283.443,200.246
282.189,201.635
280.971,203.093
279.781,204.575
278.626,206.090
277.507,207.629
276.441,209.208
275.420,210.806
274.440,212.367
273.483,213.937
272.549,215.549
271.626,217.230
270.717,218.965
269.826,220.772
268.942,222.581
268.102,224.410
267.179,227.541
266.306,230.702
265.478,233.881
264.688,237.076
263.939,240.289
263.240,243.509
262.591,246.736
261.993,249.971
261.417,253.214
260.874,256.472
260.374,259.748
259.900,263.034
259.459,266.334
259.052,269.648
258.674,272.974
258.331,276.324
258.009,279.682
257.725,283.045
257.465,286.415
257.223,289.858
256.997,293.356
256.771,296.854
256.545,300.352
256.360,303.851
256.219,307.349
256.096,310.817
256.000,314.229
255.936,317.595
255.887,320.903
255.855,324.218
255.823,327.533
255.919,329.565
256.007,331.592
256.072,333.611
256.137,335.629
256.201,337.647
256.266,339.665
256.314,341.690
256.347,343.721
256.379,345.752
256.411,347.784
256.460,349.809
256.524,351.827
256.605,353.838
256.701,355.843
256.814,357.854
256.992,360.066
257.185,362.271
257.364,364.482
257.541,366.693
257.719,368.840
257.896,370.939
258.074,373.038
258.235,375.130
258.377,377.230
258.496,379.339
258.625,381.500
258.797,383.752
258.975,386.058
259.152,388.364
259.475,391.153
259.813,393.936
260.152,396.719
260.516,399.498
260.924,402.279
261.343,405.055
261.762,407.831
262.198,410.655
262.649,413.528
263.107,416.399
263.574,419.265
264.042,422.131
264.494,425.004
265.139,428.545
265.757,432.088
266.354,435.636
266.951,439.183
267.515,442.531
268.080,445.878
268.644,449.225
269.209,452.572
269.806,455.962
270.451,459.441
271.103,462.917
271.782,466.395
272.484,469.864
273.193,473.330
273.903,476.741
274.581,480.054
275.259,483.313
275.952,486.565
276.517,489.327
277.081,492.089
277.664,494.843
278.261,497.591
278.862,500.337
279.475,503.079
280.110,505.811
280.739,508.491
281.415,511.174
282.107,513.851
282.817,516.520
283.555,519.177
284.316,521.825
284.896,523.800
285.515,525.768
286.176,527.722
286.867,529.664
287.576,531.599
288.286,533.533
289.035,535.451
289.830,537.351
290.637,539.189
291.442,540.919
292.294,542.611
293.186,544.276
294.108,545.913
295.074,547.520
296.250,549.361
297.462,551.177
298.706,552.972
299.980,554.754
301.272,556.528
302.598,558.277
303.958,560.001
305.340,561.700
306.745,563.380
308.184,565.028
309.649,566.655
311.142,568.257
312.622,569.775
314.131,571.268
315.663,572.743
317.221,574.188
318.806,575.612
320.415,577.009
322.049,578.384
323.695,579.745
325.366,581.077
327.063,582.368
328.801,583.617
330.571,584.855
332.380,586.109
334.234,587.366
336.141,588.658
338.064,589.968
339.992,591.267
341.923,592.557
343.860,593.834
345.620,594.850
347.387,595.850
349.156,596.845
350.934,597.817
352.734,598.762
354.536,599.698
356.343,600.624
358.152,601.546
359.966,602.456
361.770,603.356
363.588,604.223
365.469,605.142
367.357,606.046
369.244,606.949
371.139,607.837
373.035,608.718
374.937,609.588
376.840,610.455
378.747,611.310
380.658,612.158
382.569,613.004
384.477,613.859
386.384,614.714
388.351,615.614
390.291,616.469
392.198,617.295
394.057,618.069
395.903,618.819
397.746,619.547
399.596,620.256
401.443,620.941
403.331,621.619
405.259,622.296
407.225,622.976
409.197,623.625
411.167,624.260
413.139,624.861
415.115,625.451
417.088,626.018
419.056,626.563
421.042,627.095
